manifest_index,op_id,op_name,book,coref_id,held_out_subset,utterances,flagged_by_neg_control
10,SYNTH/10,Darveth Solke,SYNTHETIC,synth_10,False,"Darveth sat across from the guild treasurer, his hands folded calmly on the table. ""I won't pretend the numbers favor you, Magistra. They don't. But I'll tell you exactly where you stand because I think you deserve that much, even if it ruins my afternoon.""

The treasurer stiffened. Darveth continued without softening his tone. ""Your clerks have been skimming. Not dramatically, just enough to fund a comfortable retirement. I found it because I actually read the footnotes, which apparently nobody in this building has done in eleven years.""

When his apprentice later asked why he hadn't been more diplomatic, Darveth shrugged. ""Diplomatic gets people killed in finance. I told her the truth. If she's angry at me for that, she's angry at the wrong person.""

At home, his neighbor brought over a casserole to welcome him to the building. Darveth accepted it with a nod. ""That's kind. I should warn you, I'm not much for reciprocal socializing. Not because I dislike you, I just don't have the energy for it. But if your roof leaks again, I'll fix it. I'm better with my hands than with small talk.""

During a council hearing, Darveth was asked to testify about irregularities he'd discovered. The opposing advocate tried to rattle him: ""You seem to enjoy tearing down reputations, Mister Solke."" Darveth's jaw tightened. ""I enjoy accuracy. If your client's reputation can't survive accuracy, that's not my problem. And I'd appreciate it if you stopped wasting my time with theatrical questions.""

The advocate pressed further. Darveth's voice dropped to a near-growl. ""Ask me something substantive or sit down. I came here voluntarily. I can leave the same way.""

Narrator commentary: Darveth arrived at every appointment precisely on time, carrying the same worn leather satchel with documents arranged in dated order. He never accepted gifts from clients, returning even token offerings with a brief, handwritten note explaining his policy. When a colleague collapsed during a long audit session, Darveth was the first to call for a physician, then stayed three additional hours to cover the man's share of the work without being asked.

He was observed arguing heatedly with a street vendor over incorrect change, not over the amount, which was trivial, but over the principle. His face reddened and his words grew clipped. Afterward, he stood on the corner for a moment, exhaled slowly, and walked on without apology.

Neighbors described him as someone who would shovel your walkway in a blizzard but snap at you if you thanked him too effusively. He kept no decorations in his office except a single framed quotation: ""Precision is the only kindness that lasts.""",False
11,SYNTH/11,Ysabel Creen,SYNTHETIC,synth_11,False,"Ysabel poured tea for the new director with a serene smile. ""You must be exhausted from the transition. Everyone underestimates how draining it is to inherit someone else's mess. I want you to know, I'm here to make your life easier. Whatever you need.""

She listened to his plans for restructuring with attentive nods, offering gentle suggestions. ""Of course, you could reassign the Vellmore account to Hadden's team. Though, and this is just a thought, Hadden's been distracted lately. Personal troubles. It might be kinder to keep his plate light, don't you think?"" She tilted her head, the picture of concern.

In private, Ysabel spoke differently to her assistant Lorne. ""Hadden's not distracted. He's competent, which is the problem. If he handles Vellmore, the director sees he doesn't need me as intermediary. So Hadden stays buried in minor accounts until I decide otherwise. Understood?"" Her voice remained perfectly even, almost warm.

At a company gathering, a junior employee spilled wine on Ysabel's sleeve. She laughed gracefully. ""Oh, don't worry about it at all. These things happen. Here, let me get you another glass, you look more shaken than I am."" She touched the young woman's arm reassuringly and fetched the drink herself.

When Lorne questioned whether sidelining Hadden was fair, Ysabel didn't raise her voice. ""Fair is a word people use when they don't understand strategy. I'm not hurting Hadden. I'm managing visibility. There's a difference. And Lorne? I value your conscience. Truly. Just make sure it doesn't become inconvenient.""

Months later, when the director praised Ysabel publicly for the department's turnaround, she deflected credit with a humble wave. ""It's the team. I just try to keep things running smoothly.""

Narrator commentary: Ysabel never raised her voice in twelve years at the firm. Colleagues described her as the most patient person in the building, always willing to listen, always the last to leave a difficult conversation. She remembered birthdays, allergies, and the names of everyone's children.

Yet a pattern emerged for those who watched closely. People who threatened her position found themselves gradually isolated, not through confrontation, but through a quiet redistribution of opportunities. Invitations were lost. Emails were delayed. Credit migrated.

She maintained three separate professional networks, none of which knew about the others. Her personal office contained a locked drawer she opened only when alone. She never lied outright; she simply arranged truths in architectures that served her. Her smile never wavered, even when delivering news that ended someone's project.",False
12,SYNTH/12,Tormund Brael,SYNTHETIC,synth_12,False,"Tormund leaned against the dock railing, watching the trawlers come in. A deckhand asked if he'd join the night crew. ""Maybe. Depends on whether your captain's still cutting corners on the safety line. Last time I was out there, I saw rigging that could kill someone. I told him. He laughed. So, maybe, if he's stopped laughing.""

At the harbor tavern, Tormund bought a round for strangers. ""You all look like you've earned it. I don't know your names and I don't need to. Rough water deserves cold beer."" He clinked glasses with a broad, easy grin, then turned to argue with the bartender about the quality of the fish stew. ""This is last Tuesday's catch and you know it. I can taste the freezer. Don't insult me, Gren.""

When his estranged sister called, Tormund's voice shifted. ""I'm not going to pretend we're fine. We're not. You took Dad's boat and sold it without asking me. That hurt. But, look, I don't want to lose another decade over it. Come down for the festival. We'll talk. I'll probably yell. You'll probably cry. Then we'll eat something and figure it out.""

A young fisherman confided that he'd been falsifying his catch logs to meet quota. Tormund stared at him for a long moment. ""I'm not going to report you. But I'm not going to help you either. You fix it yourself, or it eats you. That's how these things work. I've done things I'm not proud of, everyone on this dock has. The difference is whether you stop.""

Narrator commentary: Tormund was known along the harbor as someone who would give you his last cigarette and then criticize how you smoked it. He volunteered for every search-and-rescue call but refused to attend the commendation ceremonies, calling them ""theater for landlords.""

His boat was meticulously maintained, every rope coiled, every surface scrubbed, but his apartment was a chaos of unwashed dishes and unread mail. He kept a journal that he wrote in nightly, though he told no one about it.

He'd been fined twice for confronting inspectors he believed were corrupt, shouting on the municipal steps until security escorted him away. The same week, he quietly paid a dockworker's medical bill without leaving his name. When the man discovered the source and tried to thank him, Tormund waved him off: ""Don't make it weird. Just get better.""",False
13,SYNTH/13,Pella Vassik,SYNTHETIC,synth_13,False,"Pella stood in front of her half-finished mural, chewing the end of a brush. Her gallery liaison asked about the deadline. ""Deadlines are suggestions written by people who've never had an original thought. I'll finish when the piece tells me it's done. If your collectors can't wait, they can buy someone else's compromises.""

At a dinner party, she dominated the conversation with a theory about synesthetic architecture. ""What if buildings were designed to sound like something? Not acoustics, I mean the visual frequency of a facade producing an emotional tone. Nobody's doing this. Nobody's even asking the question."" When a guest politely disagreed, Pella leaned forward. ""You're wrong, but I like that you're engaging. Most people just nod.""

Alone in her studio at 3 AM, she called her ex-partner. ""I know it's late. I know. I just, I had this breakthrough and there's nobody else who'd understand what it means. The color theory we argued about in Vossk? I cracked it. I cracked it and I needed to tell someone who'd care."" Her voice wavered slightly. ""I'm sorry. I know I shouldn't call.""

When her assistant accidentally destroyed a preparatory sketch, Pella went silent for a full minute. Then: ""That took me nine hours. Nine hours I can't get back. I'm going to walk around the block now, and when I come back, we're going to pretend this didn't happen, because if I stay in this room I'll say something I can't take back.""

She returned twenty minutes later, calmer. ""It's gone. I'll redo it. Might be better the second time, things sometimes are. Don't look at me like that. I'm not angry anymore. I'm just tired.""

Narrator commentary: Pella's studio was a labyrinth of half-completed projects, color samples pinned to every surface, and journals filled with diagrams that blended physics and poetry. She worked in intense bursts, sometimes eighteen hours without eating, then disappeared for days, unreachable.

She was generous with younger artists, spending hours critiquing their work with genuine investment, but she could turn cutting if she sensed laziness. Her emotional states were visible to anyone watching: elation made her pace and talk rapidly; despair made her sit motionless, staring at her hands.

She donated significant portions of her earnings to arts education programs but refused to attend the galas associated with them. She once told an interviewer, ""I make things because the alternative is unbearable silence. Don't romanticize it. It's a compulsion, not a gift.""",False
14,SYNTH/14,Ossian Drewe,SYNTHETIC,synth_14,False,"Ossian sat in the back of the community meeting, arms crossed, listening to the neighborhood council debate a new development proposal. When the floor opened, he stood slowly. ""I've lived here twenty-two years. I've watched three of these proposals come through. Each time, someone promises affordable units. Each time, the affordable units vanish in the final draft. So here's what I want to know: who benefits when I stay quiet?""

The council chair asked him to propose an alternative. Ossian shook his head. ""I'm not here to do your job. I'm here to make sure you can't pretend nobody objected. Put my name in the minutes. Ossian Drewe, objecting.""

At work, a mid-level position at the city's water treatment facility, he trained new hires with methodical patience. ""Check the pH twice. Always twice. The first reading is what you expect. The second is what's actually there. This job is boring until it isn't, and when it isn't boring, people get sick. So stay bored. Stay careful.""

A coworker invited him to a weekend barbecue. Ossian considered it. ""I appreciate it. I'll come for an hour. I'm not good at the standing-around part, but I'll bring potato salad and I'll mean it.""

When his adult son asked for money, Ossian's response was measured. ""I'll help you, but not the way you're asking. I'll pay your electric bill directly. I'm not giving you cash because last time the cash went somewhere neither of us wants to talk about. I love you. That's why I'm saying no to the thing you asked and yes to the thing you need.""

His son protested. Ossian's voice remained steady. ""You can be angry. That's your right. But I'm not changing my mind. Come for dinner Sunday. We'll talk about the rest then.""

Narrator commentary: Ossian kept a rigid daily schedule, up at five, oatmeal, a walk along the canal regardless of weather, then work. His home was sparse but clean, with books arranged by subject on cinderblock shelves. He read history and municipal policy for pleasure.

He volunteered at a literacy program on Tuesday evenings, arriving early to arrange chairs. He rarely smiled broadly, but his presence was steady, students said he made them feel like the work mattered without ever saying so directly.

He'd been offered promotions twice and declined both, telling his supervisor the additional meetings would interfere with his actual responsibilities. He kept a small garden behind his apartment, growing tomatoes and peppers with exacting care, and left surplus produce on neighbors' doorsteps without notes.",False
15,SYNTH/15,Quillen Dray,SYNTHETIC,synth_15,False,"""I don't care if you think I'm being difficult, I'm being accurate. There's a difference, and if you can't tell, that's your problem, not mine."" Quillen says this to his research partner while hunched over a table covered in hand-drawn star charts, his voice flat but not cruel. He doesn't look up.

""You want to know what I think about the committee's decision? I think they're cowards. I also think they're wrong. But I'll say that to their faces, same as I'm saying it to you."" He folds the chart carefully, aligning every crease with deliberate precision.

In conversation with a stranger at a transit station: ""No, I won't pretend I remember you. We haven't met. I'd rather be honest about that than perform some little social dance."" The stranger looks taken aback, but Quillen's expression holds no malice, just the settled weight of someone who has decided that politeness without truth is a waste of everyone's time.

When a younger colleague brings him a flawed proof: ""This is wrong in three places. Here, here, and here. But the underlying idea, the shape of it, that's interesting. Sit down. Let's fix it."" He clears a chair by moving a stack of journals to the floor without ceremony.

""My mother used to say I had the temperament of a winter storm. She wasn't wrong. But storms clear the air.""

Narrator commentary: Quillen's apartment contains no decorations except a single photograph of a coastline he has never visited. He chose it because the light in the image reminded him of a mathematical relationship he once struggled to articulate. His bookshelves are organized by a system only he understands, not alphabetical, not chronological, but by what he calls 'resonance.' He has alienated three department heads in two years, not through scheming but through an inability to soften his assessments. When he discovers he has hurt someone, he does not apologize with words but appears the next morning with their coffee order memorized, placed silently on their desk. He has never accepted a gift he felt he hadn't earned, once returning a prestigious award because he believed the selection committee had confused his work with a colleague's. He sleeps irregularly, often waking at 3 AM to sketch ideas that dissolve by morning. His handshake is firm and brief. He makes eye contact that others describe as uncomfortably direct, though he considers it simply the baseline of honest interaction. He has refused two promotions because they would have required managing people, a task he describes as 'translating myself into a language I don't speak.' He donates anonymously to three literacy programs and has never mentioned this to anyone.",False
16,SYNTH/16,Sable Maren Voss,SYNTHETIC,synth_16,False,"""Oh, take your time. Truly. I'm in no rush."" Sable says this with a warm half-smile to the nervous intern fumbling through a presentation, and she means it, or at least, the patience is real. What she doesn't say is that she has already identified three ways to leverage the intern's gratitude later.

""I find that people reveal themselves most when they feel safe. So I make them feel safe."" She says this to her reflection while adjusting an earring before a fundraiser, her tone conversational, as though rehearsing a philosophy she has long since internalized.

To a business rival at a dinner party: ""Marcus, you look wonderful tonight. I heard about your expansion into the eastern market, bold move. Really bold."" Her hand rests briefly on his arm. Later, in the car, she dictates a memo to her assistant: ""Pull everything we have on Marcus Lehane's eastern contracts. He's overextended.""

When confronted by a former friend: ""I never lied to you, Petra. I simply didn't correct your assumptions. There's a meaningful difference."" Her voice remains soft, unhurried. She offers Petra a glass of water.

""Anger is a resource other people spend. I prefer to save mine.""

Narrator commentary: Sable never raises her voice. In twelve years of professional life, no colleague can recall a single instance of her losing composure. She remembers birthdays, allergies, the names of people's children, details she files with the same care a jeweler gives to inventory. Her office contains fresh flowers replaced every Monday, and she personally selects arrangements that match the preferences of whoever is most likely to visit that week. She has ended four professional relationships, each time ensuring the other party believed the separation was mutual, even amicable. She writes thank-you notes by hand on cream-colored stationery. When a subordinate once discovered she had quietly redirected credit for his project to herself, she responded not with denial but with a generous and unsolicited raise, effectively purchasing his silence without either of them naming what had happened. She tips generously at restaurants where she is known, modestly where she is not. Her calendar is meticulously organized, but she keeps no journal, she has said, once, that writing down one's true thoughts is 'handing someone a weapon and hoping they never find it.' She sleeps soundly.",False
17,SYNTH/17,Erith Cade Pollowick,SYNTHETIC,synth_17,False,"""I had this idea last night, what if sound has a texture, not just metaphorically, but what if we could build instruments that let you feel pitch through your fingertips? I started sketching something, but then I got distracted by this documentary about deep-sea bioluminescence and, oh, what were we talking about?"" Erith says this while walking barefoot through a cluttered studio, stepping over half-assembled sculptures made from reclaimed electronics.

""No, I didn't finish the grant application. I know. I know. But listen, I figured out why the resonance chamber wasn't working. That's more important, isn't it?"" She looks genuinely puzzled when her collaborator sighs.

To a friend at a quiet café: ""I don't really want to go to the opening. There'll be so many people, and they'll all want to talk about the work in this specific, boxed-in way. I'd rather sit here and think about it. Can you go and tell me what happens?""

""I'm not shy. I just find most conversations less interesting than what's already happening in my head. That sounds terrible. I don't mean it to sound terrible.""

When a child at a community workshop asks why her sculpture looks 'broken': ""Because it is! That's the best part. Broken things show you what they're made of. Whole things just sit there being smug."" She grins and hands the child a pair of safety goggles.

""Deadlines feel like someone drawing a border around the sky.""

Narrator commentary: Erith's workspace contains seventeen active projects in various states of incompletion. She labels none of them. She can describe the conceptual arc of each one in vivid, sprawling detail but has never successfully written a project summary under five hundred words. She cancels plans frequently, not from malice but from genuine absorption in whatever has captured her attention. Her phone often dies uncharged. She is generous with her ideas, freely sharing techniques and concepts with other artists, never tracking who owes her what. When she does attend social events, she gravitates to corners and engages in intense one-on-one conversations that she later describes as 'the only good part.' She has moved apartments six times in four years, each time leaving behind boxes she never unpacked from the previous move. Her kindness is reflexive and unperformative, she once spent an entire afternoon helping a stranger fix a bicycle chain, missing her own exhibition opening in the process. She forgets to eat lunch most days but can recall the exact color temperature of light in a room she visited once, seven years ago.",False
18,SYNTH/18,Darvon Selk,SYNTHETIC,synth_18,False,"""The schedule says oh-six-hundred and I mean oh-six-hundred. Not six-oh-two, not five-fifty-eight. You want flexibility, go work for someone who doesn't care if the bridge holds."" Darvon delivers this to a crew of dock engineers, his voice carrying easily across the yard. He doesn't shout, his volume is calibrated, like everything else.

""I checked the load calculations twice. Then I had Renna check them. Then I checked Renna's check. That's not paranoia. That's the difference between a structure that stands and a memorial plaque.""

To his estranged sister, over a rare phone call: ""I don't know what you want me to say, Lida. I'm not good at this. I can tell you the tensile strength of every cable on the Verant Crossing, but I can't, I don't know how to talk about feelings. I'm sorry. That's honest, at least.""

When a junior engineer proposes an unconventional design: ""No. I've seen unconventional. Unconventional is what they called the Harrow Street overpass before it collapsed. We use proven methods. We use standards. If you want to innovate, do it in a simulation first, a thousand times, and then bring me the data.""

""I eat the same breakfast every day. Oats, black coffee, one egg. People think that's strange. I think it's one less decision standing between me and the work.""

At a retirement dinner for a colleague: ""Gus was reliable. That's the highest compliment I know how to give. He showed up. He did the math. The structures he built will outlast every one of us in this room. What else matters?""

Narrator commentary: Darvon's desk contains no personal photographs. His tools are arranged in a case with custom-cut foam inserts, each tool's outline labeled. He arrives at job sites before anyone else and leaves after the last worker, not from distrust but from a sense of obligation he has never articulated. He does not attend social gatherings unless professionally required, and when he does, he stands near exits. His handwriting is small, precise, and identical whether he is writing a structural report or a grocery list. He has read the same eleven engineering manuals repeatedly over twenty years and resists new editions unless proven superior through peer-reviewed errata. He once refused a significant bonus because he judged his contribution to the project as merely adequate. His emotional register is narrow in expression but not absent, those who know him well have seen his hands tremble slightly when standing on a completed bridge for the first time, though he has never explained why.",False
19,SYNTH/19,Tessaly Brune,SYNTHETIC,synth_19,False,"""Come sit with us! There's room, there's always room. I don't care that we haven't met, you looked lonely standing over there and that's reason enough."" Tessaly waves a stranger toward a crowded picnic table at a neighborhood festival, already shifting to make space, her laugh arriving before her words finish.

""Oh, the project? I'll get to it. I'll definitely get to it. But right now Maren is telling me about her grandmother's garden and honestly that feels more important than any deadline ever invented.""

To a friend in distress: ""I'm not going to pretend I have advice. I don't. But I'm going to sit here with you until you feel like a person again, even if that takes all night. I brought snacks. Terrible ones. The kind that make you laugh at how bad they are.""

When criticized for missing a commitment: ""You're right. You're completely right. I should have been there and I wasn't, and I'm sorry. I got caught up helping Josip move his mother's furniture and I lost track of everything. I know that's not an excuse. I know.""

""I've never understood people who eat lunch alone on purpose. Food is a communal act. Even bad cafeteria soup becomes meaningful if you're sharing it with someone.""

At a town meeting, standing up without being called on: ""I just want to say, can we stop talking about zoning for one minute and acknowledge that Mrs. Padilla has been volunteering at the shelter for thirty years and nobody has ever thanked her publicly? Can we do that? Can we just, thank her?"" The room is briefly silent, then applauds. Tessaly sits back down, already whispering something to the person beside her.

Narrator commentary: Tessaly's kitchen is the most used room in her house, though she is not a skilled cook. What she produces is edible, generous in portion, and always offered. Her calendar exists as a series of sticky notes on her refrigerator, many of them weeks old and no longer relevant. She has been late to every job she has held, though she has never been fired because colleagues find her indispensable for morale. Her apartment door is often unlocked. She remembers emotional details about people, what makes them anxious, what makes them light up, but forgets practical ones, like whether she has paid her electric bill. She cries easily at kindness, not at cruelty, which she tends to process with confused silence rather than tears. She owns more blankets than any single person needs because she keeps buying them for guests who might be cold. Her phone is perpetually at four percent battery. She has started and abandoned a dozen organizational systems, each one lasting no more than three days before the current of her social life sweeps structure away.",False
